Player,Tm,FantPos,Age,G,GS,Cmp,Att_pass,Yds_pass,TD_pass,Int_pass,Att_rush,Yds_rush,Y/A,TD_rush,Tgt,Rec,Yds_rec,Y/R,TD_rec,Fmb,FL,TD_total,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year,Team_Yds,Team_Tgt,Team_Att_rush,Team_Yds_rush
Drake London,ATL,WR,22,16,16,1,1,22,0,0,0,0,0.0,0,110,69,905,13.12,2,0,0,2,1,0,105,174.4,177.4,139.9,0,42,0,2023,5934,480,522,2159
Diontae Johnson,PIT,WR,27,13,11,0,0,0,0,0,0,0,0.0,0,87,51,717,14.06,5,1,0,5,0,0,102,152.7,155.7,127.2,0,43,0,2023,5431,483,487,2010
Darius Slayton,NYG,WR,26,17,13,0,0,0,0,0,0,0,0.0,0,79,50,770,15.4,4,0,0,4,0,0,101,151.0,154.0,126.0,0,44,0,2023,5223,484,453,1872
Tee Higgins,CIN,WR,24,12,11,0,0,0,0,0,0,0,0.0,0,76,42,656,15.62,5,0,0,5,0,0,96,137.6,140.6,116.6,0,45,0,2023,5784,592,383,1527
Curtis Samuel,WAS,WR,27,16,13,0,0,0,0,0,7,39,5.57,1,91,62,613,9.89,4,0,0,5,0,0,95,157.2,160.2,126.2,0,46,0,2023,5766,601,358,1592
Christian Kirk,JAX,WR,27,12,12,1,2,-1,0,0,1,6,6.0,0,85,57,787,13.81,3,2,2,3,0,0,93,150.3,155.3,121.8,0,47,0,2023,6010,605,453,1646
Josh Downs,IND,WR,22,17,9,0,0,0,0,0,0,0,0.0,0,98,68,771,11.34,2,0,0,2,0,0,89,157.1,160.1,123.1,0,48,0,2023,5927,540,466,2045
Josh Reynolds,DET,WR,28,17,13,0,0,0,0,0,0,0,0.0,0,64,40,608,15.2,5,1,1,5,0,0,89,128.8,132.8,108.8,0,49,0,2023,6883,564,498,2308
Jerry Jeudy,DEN,WR,24,16,11,0,0,0,0,0,0,0,0.0,0,87,54,758,14.04,2,1,0,2,0,0,88,141.8,144.8,114.8,0,50,0,2023,5376,477,451,1810
Jaxon Smith-Njigba,SEA,WR,21,17,3,0,0,0,0,0,0,0,0.0,0,93,63,628,9.97,4,0,0,4,0,0,87,149.8,152.8,118.3,0,51,0,2023,5747,547,382,1580
Marquise Brown,ARI,WR,26,14,14,0,0,0,0,0,2,23,11.5,0,101,51,574,11.25,4,0,0,4,0,0,84,134.7,137.7,109.2,0,52,0,2023,3782,525,395,1921
DJ Chark,CAR,WR,27,15,11,0,0,0,0,0,0,0,0.0,0,66,35,525,15.0,5,2,1,5,0,0,81,115.5,119.5,98.0,0,54,0,2023,5018,534,444,1780
Dontayvion Wicks,GB,WR,22,15,6,1,1,14,0,0,1,1,1.0,0,58,39,581,14.9,4,3,1,4,0,0,81,119.8,123.8,100.3,0,53,0,2023,6104,561,439,1894
Tyler Boyd,CIN,WR,29,17,13,0,1,0,0,1,2,11,5.5,0,98,67,667,9.96,2,0,0,2,0,0,78,144.8,148.8,112.3,0,55,0,2023,5784,592,383,1527
Michael Wilson,ARI,WR,23,13,12,0,0,0,0,0,0,0,0.0,0,58,38,565,14.87,3,0,0,3,1,0,77,114.5,117.5,95.5,0,56,0,2023,3782,525,395,1921
