Player,Tm,FantPos,Age,G,GS,Cmp,Att_pass,Yds_pass,TD_pass,Int_pass,Att_rush,Yds_rush,Y/A,TD_rush,Tgt,Rec,Yds_rec,Y/R,TD_rec,Fmb,FL,TD_total,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year,Team_Yds,Team_Tgt,Team_Att_rush,Team_Yds_rush
Terrell Jennings,NE,RB,23,3,0,0,0,0,0,0,13,33,2.54,0,1,0,0,0.0,0,0,0,0,0,0,3,3.3,3.3,3.3,0,121,0,2024,5305,480,444,1962
Jase McClellan,ATL,RB,22,2,0,0,0,0,0,0,13,32,2.46,0,0,0,0,0.0,0,0,0,0,0,0,3,3.2,3.2,3.2,0,123,0,2024,6502,539,495,2219
MarShawn Lloyd,GB,RB,23,1,0,0,0,0,0,0,6,15,2.5,0,1,1,3,3.0,0,0,0,0,0,0,2,2.8,2.8,2.3,0,128,0,2024,6435,463,526,2496
Aaron Shampklin,PIT,RB,25,3,0,0,0,0,0,0,6,17,2.83,0,0,0,0,0.0,0,0,0,0,0,0,2,1.7,1.7,1.7,0,129,0,2024,5773,446,533,2166
Jonathan Ward,PIT,RB,27,4,0,0,0,0,0,0,5,22,4.4,0,0,0,0,0.0,0,0,0,0,0,0,2,2.2,2.2,2.2,0,127,0,2024,5773,446,533,2166
Blake Watson,DEN,RB,25,2,0,0,0,0,0,0,4,10,2.5,0,2,1,13,13.0,0,0,0,0,0,0,2,3.3,3.3,2.8,0,126,0,2024,5713,518,461,1908
Chris Collier,2TM,RB,24,8,0,0,0,0,0,0,5,12,2.4,0,2,1,-4,-4.0,0,0,0,0,0,0,1,1.8,1.8,1.3,0,133,0,2024,892,527,156,616
Tyrion Davis-Price,PHI,RB,24,1,0,0,0,0,0,0,3,7,2.33,0,0,0,0,0.0,0,0,0,0,0,0,1,0.7,0.7,0.7,0,134,0,2024,6565,414,621,3048
Myles Gaskin,MIN,RB,27,5,0,0,0,0,0,0,3,-1,-0.33,0,1,1,11,11.0,0,0,0,0,0,0,1,2.0,2.0,1.5,0,130,0,2024,5937,506,393,1558
George Holani,SEA,RB,25,5,0,0,0,0,0,0,3,10,3.33,0,1,1,-1,-1.0,0,0,0,0,0,0,1,1.9,1.9,1.4,0,131,0,2024,6003,564,381,1624
Cody Schrader,LAR,RB,25,1,0,0,0,0,0,0,1,3,3.0,0,1,1,6,6.0,0,0,0,0,0,0,1,1.9,1.9,1.4,0,132,0,2024,5861,541,450,1765
Khari Blasingame,2TM,RB,28,5,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,140,0,2024,892,527,156,616
Gary Brightwell,CLE,RB,25,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,141,0,2024,5487,579,391,1608
British Brooks,HOU,RB,25,5,0,0,0,0,0,0,1,2,2.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,138,0,2024,5714,535,393,1762
Darrynton Evans,CHI,RB,26,5,0,0,0,0,0,0,3,3,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.3,0.3,0.3,0,137,0,2024,5259,524,421,1707
Evan Hull,IND,RB,24,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,143,0,2024,5930,492,496,2331
Keaontay Ingram,KC,RB,25,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,144,0,2024,5835,511,449,1789
John Kelly,BAL,RB,28,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,146,0,2024,7378,452,554,3189
Joshua Kelley,TEN,RB,27,3,0,0,0,0,0,0,1,2,2.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,139,0,2024,5476,485,450,1855
Dante Miller,NYG,RB,25,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,147,0,2024,5172,554,422,1774
Kendall Milton,CIN,RB,22,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,148,0,2024,6378,618,352,1460
Jaret Patterson,LAC,RB,25,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,149,0,2024,5780,486,462,1882
Keilan Robinson,JAX,RB,24,6,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,151,0,2024,5446,517,414,1729
Ke'Shawn Vaughn,SF,RB,27,3,0,0,0,0,0,0,2,4,2.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.4,0.4,0.4,0,136,0,2024,6587,513,457,2163
Carlos Washington,ATL,RB,26,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,152,0,2024,6502,539,495,2219
Avery Williams,ATL,RB,26,17,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,153,0,2024,6502,539,495,2219
D.J. Williams,TB,RB,24,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,154,0,2024,7043,563,482,2538
Trayveon Williams,CIN,RB,27,17,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,155,0,2024,6378,618,352,1460
Dylan Laube,LV,RB,25,10,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0.0,0,1,1,0,0,0,-2,-2.0,-1.0,-2.0,0,156,0,2024,5428,562,375,1345
