Tm,Tgt_20,Rec_20,Ctch%_20,Yds_20,TD_20,%Tgt_20,Tgt_10,Rec_10,Ctch%_10,Yds_10,TD_10,%Tgt_10,Highlights,Player,Year
CLE,13,7,53.85%,40,2,20.30%,6,2,33.33%,18,2,20.70%,All Elijah Moore red zone receiving plays,Elijah Moore,2023
HOU,13,6,46.15%,60,4,19.10%,5,3,60.00%,16,3,13.90%,All Dalton Schultz red zone receiving plays,Dalton Schultz,2023
DEN,13,6,46.15%,44,3,20.00%,9,5,55.56%,29,3,25.70%,All Adam Trautman red zone receiving plays,Adam Trautman,2023
GNB,13,6,46.15%,57,5,14.40%,7,2,28.57%,10,2,18.90%,All Christian Watson red zone receiving plays,Christian Watson,2023
LAC,12,7,58.33%,46,5,16.40%,11,6,54.55%,34,4,25.00%,All Keenan Allen red zone receiving plays,Keenan Allen,2023
DAL,12,7,58.33%,48,6,11.50%,9,6,66.67%,40,6,17.60%,All Brandin Cooks red zone receiving plays,Brandin Cooks,2023
SFO,12,8,66.67%,59,3,17.10%,4,3,75.00%,18,2,15.40%,All George Kittle red zone receiving plays,George Kittle,2023
SEA,12,6,50.00%,49,4,18.50%,5,3,60.00%,14,3,20.80%,All Tyler Lockett red zone receiving plays,Tyler Lockett,2023
DAL,12,11,91.67%,41,0,11.50%,2,1,50.00%,3,0,3.90%,All Tony Pollard red zone receiving plays,Tony Pollard,2023
LAR,12,5,41.67%,22,3,16.40%,4,4,100.00%,7,2,9.80%,All Kyren Williams red zone receiving plays,Kyren Williams,2023
BAL,11,5,45.45%,30,1,17.20%,7,2,28.57%,15,1,22.60%,All Odell Beckham red zone receiving plays,Odell Beckham,2023
BUF,11,6,54.55%,64,5,17.70%,5,3,60.00%,13,3,18.50%,All Gabriel Davis red zone receiving plays,Gabriel Davis,2023
WAS,11,5,45.45%,32,2,17.20%,7,2,28.57%,18,2,20.00%,All Jahan Dotson red zone receiving plays,Jahan Dotson,2023
MIN,11,4,36.36%,25,1,13.90%,7,1,14.29%,4,1,14.90%,All Justin Jefferson red zone receiving plays,Justin Jefferson,2023
MIN,11,5,45.45%,26,3,13.90%,6,3,50.00%,15,3,12.80%,All Alexander Mattison red zone receiving plays,Alexander Mattison,2023
ARI,11,7,63.64%,50,3,19.00%,7,3,42.86%,16,2,26.90%,All Trey McBride red zone receiving plays,Trey McBride,2023
CHI,11,7,63.64%,39,3,19.60%,7,4,57.14%,16,2,26.90%,All D.J. Moore red zone receiving plays,D.J. Moore,2023
NOR,11,7,63.64%,53,4,16.90%,6,3,50.00%,20,3,18.20%,All Chris Olave red zone receiving plays,Chris Olave,2023
LAC,10,8,80.00%,35,3,13.70%,7,5,71.43%,22,3,15.90%,All Gerald Everett red zone receiving plays,Gerald Everett,2023
PHI,10,6,60.00%,46,3,20.40%,3,2,66.67%,15,2,17.60%,All Dallas Goedert red zone receiving plays,Dallas Goedert,2023
MIN,10,7,70.00%,46,4,12.70%,7,4,57.14%,14,3,14.90%,All T.J. Hockenson red zone receiving plays,T.J. Hockenson,2023
DEN,10,7,70.00%,35,1,15.40%,5,2,40.00%,-5,0,14.30%,All Jerry Jeudy red zone receiving plays,Jerry Jeudy,2023
PIT,10,5,50.00%,23,3,23.80%,4,3,75.00%,9,3,22.20%,All Diontae Johnson red zone receiving plays,Diontae Johnson,2023
GNB,10,7,70.00%,11,0,11.10%,2,1,50.00%,5,0,5.40%,All Aaron Jones red zone receiving plays,Aaron Jones,2023
JAX,10,5,50.00%,41,2,15.90%,5,2,40.00%,12,1,16.70%,All Zay Jones red zone receiving plays,Zay Jones,2023
MIN,10,3,30.00%,20,2,12.70%,6,3,50.00%,20,2,12.80%,All K.J. Osborn red zone receiving plays,K.J. Osborn,2023
TAM,10,7,70.00%,51,4,16.90%,3,2,66.67%,7,2,10.30%,All Cade Otton red zone receiving plays,Cade Otton,2023
LAC,10,6,60.00%,35,4,13.70%,7,4,57.14%,10,3,15.90%,All Donald Parham red zone receiving plays,Donald Parham,2023
DET,10,4,40.00%,25,4,15.40%,6,3,50.00%,13,3,17.10%,All Josh Reynolds red zone receiving plays,Josh Reynolds,2023
ATL,10,6,60.00%,37,2,18.50%,6,2,33.33%,9,1,21.40%,All Bijan Robinson red zone receiving plays,Bijan Robinson,2023
SEA,10,4,40.00%,37,2,15.40%,5,1,20.00%,9,1,20.80%,All Jaxon Smith-Njigba red zone receiving plays,Jaxon Smith-Njigba,2023
HOU,10,3,30.00%,23,1,14.70%,4,1,25.00%,6,1,11.10%,All Robert Woods red zone receiving plays,Robert Woods,2023
SFO,9,6,66.67%,70,5,12.90%,4,2,50.00%,10,2,15.40%,All Brandon Aiyuk red zone receiving plays,Brandon Aiyuk,2023
ARI,9,5,55.56%,19,3,15.50%,4,3,75.00%,6,3,15.40%,All Marquise Brown red zone receiving plays,Marquise Brown,2023
NYJ,9,4,44.44%,18,0,18.40%,8,4,50.00%,18,0,25.80%,All Tyler Conklin red zone receiving plays,Tyler Conklin,2023
IND,9,4,44.44%,29,1,15.30%,5,2,40.00%,5,1,20.00%,All Josh Downs red zone receiving plays,Josh Downs,2023
LAC,9,6,66.67%,12,0,12.30%,2,1,50.00%,2,0,4.50%,All Austin Ekeler red zone receiving plays,Austin Ekeler,2023
JAX,9,6,66.67%,33,3,14.30%,4,2,50.00%,12,2,13.30%,All Evan Engram red zone receiving plays,Evan Engram,2023
CIN,9,4,44.44%,32,3,12.20%,4,2,50.00%,7,2,10.80%,All Tee Higgins red zone receiving plays,Tee Higgins,2023
BUF,9,5,55.56%,27,0,14.50%,4,2,50.00%,7,0,14.80%,All Dalton Kincaid red zone receiving plays,Dalton Kincaid,2023
LAC,9,3,33.33%,15,0,12.30%,5,1,20.00%,3,0,11.40%,All Josh Palmer red zone receiving plays,Josh Palmer,2023
LAR,9,4,44.44%,17,3,12.30%,7,4,57.14%,17,3,17.10%,All Demarcus Robinson red zone receiving plays,Demarcus Robinson,2023
ATL,9,6,66.67%,46,2,16.70%,5,3,60.00%,9,1,17.90%,All Jonnu Smith red zone receiving plays,Jonnu Smith,2023
WAS,9,4,44.44%,28,4,14.10%,6,3,50.00%,13,3,17.10%,All Logan Thomas red zone receiving plays,Logan Thomas,2023
NOR,9,2,22.22%,21,1,13.80%,5,0,0.00%,0,0,15.20%,All Michael Thomas red zone receiving plays,Michael Thomas,2023
HOU,8,5,62.50%,44,3,11.80%,3,2,66.67%,13,2,8.30%,All Tank Dell red zone receiving plays,Tank Dell,2023
LAC,8,4,50.00%,17,2,11.00%,4,2,50.00%,7,2,9.10%,All Quentin Johnston red zone receiving plays,Quentin Johnston,2023
NOR,8,8,100.00%,47,1,12.30%,1,1,100.00%,5,0,3.00%,All Alvin Kamara red zone receiving plays,Alvin Kamara,2023
BUF,8,3,37.50%,10,2,12.90%,5,3,60.00%,10,2,18.50%,All Dawson Knox red zone receiving plays,Dawson Knox,2023
WAS,8,5,62.50%,31,1,12.50%,3,1,33.33%,3,1,8.60%,All Terry McLaurin red zone receiving plays,Terry McLaurin,2023
KAN,8,7,87.50%,41,2,9.10%,5,4,80.00%,15,2,10.40%,All Isiah Pacheco red zone receiving plays,Isiah Pacheco,2023
SEA,8,4,50.00%,12,1,12.30%,4,2,50.00%,4,1,16.70%,All Colby Parkinson red zone receiving plays,Colby Parkinson,2023
PIT,8,3,37.50%,16,0,19.00%,3,1,33.33%,2,0,16.70%,All George Pickens red zone receiving plays,George Pickens,2023
MIA,8,3,37.50%,20,2,11.90%,6,2,33.33%,6,2,13.60%,All Jaylen Waddle red zone receiving plays,Jaylen Waddle,2023
TAM,8,7,87.50%,38,0,13.60%,3,2,66.67%,11,0,10.30%,All Rachaad White red zone receiving plays,Rachaad White,2023
GNB,8,4,50.00%,36,2,8.90%,2,1,50.00%,10,1,5.40%,All Dontayvion Wicks red zone receiving plays,Dontayvion Wicks,2023
BAL,7,6,85.71%,43,3,10.90%,2,1,50.00%,6,1,6.50%,All Nelson Agholor red zone receiving plays,Nelson Agholor,2023
CIN,7,3,42.86%,21,2,9.50%,4,3,75.00%,21,2,10.80%,All Tyler Boyd red zone receiving plays,Tyler Boyd,2023
HOU,7,2,28.57%,12,1,10.30%,5,1,20.00%,3,1,13.90%,All Noah Brown red zone receiving plays,Noah Brown,2023
ARI,7,3,42.86%,17,1,12.10%,2,2,100.00%,9,1,7.70%,All Zach Ertz red zone receiving plays,Zach Ertz,2023
DET,7,4,57.14%,26,1,10.80%,5,2,40.00%,14,1,14.30%,All Jahmyr Gibbs red zone receiving plays,Jahmyr Gibbs,2023
NOR,7,6,85.71%,35,3,10.80%,3,3,100.00%,12,3,9.10%,All Juwan Johnson red zone receiving plays,Juwan Johnson,2023
GNB,7,4,57.14%,21,2,7.80%,3,3,100.00%,22,2,8.10%,All Tucker Kraft red zone receiving plays,Tucker Kraft,2023
BAL,7,6,85.71%,48,2,10.90%,3,3,100.00%,16,1,9.70%,All Isaiah Likely red zone receiving plays,Isaiah Likely,2023
LVR,7,5,71.43%,46,2,9.90%,2,2,100.00%,14,1,5.70%,All Michael Mayer red zone receiving plays,Michael Mayer,2023
CHI,7,1,14.29%,-1,0,12.50%,5,1,20.00%,-1,0,19.20%,All Darnell Mooney red zone receiving plays,Darnell Mooney,2023
KAN,7,3,42.86%,20,1,8.00%,2,1,50.00%,9,1,4.20%,All Skyy Moore red zone receiving plays,Skyy Moore,2023
NOR,7,3,42.86%,34,1,10.80%,2,0,0.00%,0,0,6.10%,All Rashid Shaheed red zone receiving plays,Rashid Shaheed,2023
NYG,7,2,28.57%,6,1,21.20%,3,1,33.33%,2,1,25.00%,All Sterling Shepard red zone receiving plays,Sterling Shepard,2023
CLE,7,2,28.57%,21,0,10.90%,2,0,0.00%,0,0,6.90%,All Cedric Tillman red zone receiving plays,Cedric Tillman,2023
ARI,7,4,57.14%,43,3,12.10%,4,2,50.00%,13,2,15.40%,All Michael Wilson red zone receiving plays,Michael Wilson,2023
MIA,6,5,83.33%,33,3,9.00%,5,4,80.00%,22,3,11.40%,All De'Von Achane red zone receiving plays,De'Von Achane,2023
NWE,6,6,100.00%,45,3,16.70%,3,3,100.00%,8,1,23.10%,All Kendrick Bourne red zone receiving plays,Kendrick Bourne,2023
CAR,6,4,66.67%,44,4,16.70%,3,2,66.67%,15,2,13.60%,All DJ Chark red zone receiving plays,DJ Chark,2023
BUF,6,4,66.67%,32,3,9.70%,3,2,66.67%,13,2,11.10%,All James Cook red zone receiving plays,James Cook,2023
CLE,6,5,83.33%,32,3,9.40%,2,2,100.00%,10,2,6.90%,All Jerome Ford red zone receiving plays,Jerome Ford,2023
PIT,6,3,50.00%,24,2,14.30%,2,1,50.00%,3,1,11.10%,All Pat Freiermuth red zone receiving plays,Pat Freiermuth,2023
NWE,6,3,50.00%,20,2,16.70%,2,1,50.00%,1,1,15.40%,All Mike Gesicki red zone receiving plays,Mike Gesicki,2023
NWE,6,5,83.33%,53,5,16.70%,4,3,75.00%,23,3,30.80%,All Hunter Henry red zone receiving plays,Hunter Henry,2023
CIN,6,4,66.67%,19,0,8.10%,4,2,50.00%,0,0,10.80%,All Trenton Irwin red zone receiving plays,Trenton Irwin,2023
LVR,6,4,66.67%,18,0,8.50%,3,1,33.33%,0,0,8.60%,All Josh Jacobs red zone receiving plays,Josh Jacobs,2023
DEN,6,4,66.67%,34,2,9.20%,3,1,33.33%,4,1,8.60%,All Brandon Johnson red zone receiving plays,Brandon Johnson,2023
MIA,6,6,100.00%,36,3,9.00%,3,3,100.00%,12,2,6.80%,All Raheem Mostert red zone receiving plays,Raheem Mostert,2023
TEN,6,3,50.00%,19,1,12.80%,3,0,0.00%,0,0,13.00%,All Chigoziem Okonkwo red zone receiving plays,Chigoziem Okonkwo,2023
IND,6,0,0.00%,0,0,10.20%,2,0,0.00%,0,0,8.00%,All Alec Pierce red zone receiving plays,Alec Pierce,2023
MIN,6,4,66.67%,23,1,7.60%,4,2,50.00%,7,1,8.50%,All Brandon Powell red zone receiving plays,Brandon Powell,2023
PHI,6,4,66.67%,27,3,12.20%,4,2,50.00%,7,2,23.50%,All DeVonta Smith red zone receiving plays,DeVonta Smith,2023
TEN,6,3,50.00%,12,0,12.80%,2,1,50.00%,5,0,8.70%,All Tyjae Spears red zone receiving plays,Tyjae Spears,2023
DAL,6,5,83.33%,31,1,5.80%,3,3,100.00%,14,1,5.90%,All KaVontae Turpin red zone receiving plays,KaVontae Turpin,2023
KAN,6,3,50.00%,13,3,6.80%,4,3,75.00%,13,3,8.30%,All Justin Watson red zone receiving plays,Justin Watson,2023
TEN,6,3,50.00%,20,2,12.80%,2,1,50.00%,4,1,8.70%,All Nick Westbrook-Ikhine red zone receiving plays,Nick Westbrook-Ikhine,2023
MIA,5,5,100.00%,33,1,7.50%,1,1,100.00%,0,0,2.30%,All Salvon Ahmed red zone receiving plays,Salvon Ahmed,2023
LAR,5,3,60.00%,7,2,6.80%,4,2,50.00%,4,2,9.80%,All Tutu Atwell red zone receiving plays,Tutu Atwell,2023
NYG,5,4,80.00%,11,2,15.20%,3,2,66.67%,14,2,25.00%,All Saquon Barkley red zone receiving plays,Saquon Barkley,2023
CLE,5,4,80.00%,18,3,7.80%,3,3,100.00%,13,3,10.30%,All Harrison Bryant red zone receiving plays,Harrison Bryant,2023
ARI,5,4,80.00%,29,2,8.60%,1,1,100.00%,5,1,3.80%,All James Conner red zone receiving plays,James Conner,2023
KAN,5,3,60.00%,9,1,5.70%,5,3,60.00%,9,1,10.40%,All Clyde Edwards-Helaire red zone receiving plays,Clyde Edwards-Helaire,2023
WAS,5,4,80.00%,26,2,7.80%,1,1,100.00%,1,1,2.90%,All Antonio Gibson red zone receiving plays,Antonio Gibson,2023
NYJ,5,3,60.00%,13,0,10.20%,3,2,66.67%,9,0,9.70%,All Xavier Gipson red zone receiving plays,Xavier Gipson,2023
NOR,5,5,100.00%,31,4,7.70%,4,4,100.00%,19,4,12.10%,All Jimmy Graham red zone receiving plays,Jimmy Graham,2023
IND,5,3,60.00%,11,1,8.50%,4,2,50.00%,5,1,16.00%,All Kylen Granson red zone receiving plays,Kylen Granson,2023
NYJ,5,4,80.00%,31,2,10.20%,3,2,66.67%,12,2,9.70%,All Breece Hall red zone receiving plays,Breece Hall,2023
LAR,5,3,60.00%,24,2,6.80%,4,2,50.00%,12,2,9.80%,All Tyler Higbee red zone receiving plays,Tyler Higbee,2023
NYG,5,3,60.00%,31,3,15.20%,2,1,50.00%,8,1,16.70%,All Isaiah Hodgins red zone receiving plays,Isaiah Hodgins,2023
CIN,5,4,80.00%,15,4,6.80%,4,4,100.00%,15,4,10.80%,All Andrei Iosivas red zone receiving plays,Andrei Iosivas,2023
SFO,5,5,100.00%,28,1,7.10%,2,2,100.00%,10,1,7.70%,All Kyle Juszczyk red zone receiving plays,Kyle Juszczyk,2023
JAX,5,2,40.00%,8,0,7.90%,2,1,50.00%,2,0,6.70%,All Christian Kirk red zone receiving plays,Christian Kirk,2023
KAN,5,5,100.00%,40,4,5.70%,3,3,100.00%,17,3,6.30%,All Jerick McKinnon red zone receiving plays,Jerick McKinnon,2023
DEN,5,5,100.00%,28,1,7.70%,1,1,100.00%,8,0,2.90%,All Jaleel McLaughlin red zone receiving plays,Jaleel McLaughlin,2023
ARI,5,4,80.00%,20,0,8.60%,1,0,0.00%,0,0,3.80%,All Rondale Moore red zone receiving plays,Rondale Moore,2023
IND,5,4,80.00%,37,2,8.50%,2,1,50.00%,1,0,8.00%,All Zack Moss red zone receiving plays,Zack Moss,2023
GNB,5,2,40.00%,11,0,5.60%,1,0,0.00%,0,0,2.70%,All Luke Musgrave red zone receiving plays,Luke Musgrave,2023
MIN,5,4,80.00%,19,2,6.30%,3,2,66.67%,7,2,6.40%,All Josh Oliver red zone receiving plays,Josh Oliver,2023
ATL,5,3,60.00%,14,1,9.30%,3,2,66.67%,12,1,10.70%,All Kyle Pitts red zone receiving plays,Kyle Pitts,2023
WAS,5,5,100.00%,3,2,7.80%,2,2,100.00%,8,2,5.70%,All Brian Robinson red zone receiving plays,Brian Robinson,2023
DAL,5,3,60.00%,19,2,4.80%,3,2,66.67%,1,1,5.90%,All Luke Schoonmaker red zone receiving plays,Luke Schoonmaker,2023
CHI,5,3,60.00%,16,0,8.90%,3,1,33.33%,-1,0,11.50%,All Tyler Scott red zone receiving plays,Tyler Scott,2023
CIN,5,4,80.00%,25,1,6.80%,4,3,75.00%,14,1,10.80%,All Irv Smith red zone receiving plays,Irv Smith,2023
KAN,5,3,60.00%,6,1,5.70%,3,3,100.00%,6,1,6.30%,All Kadarius Toney red zone receiving plays,Kadarius Toney,2023
PIT,5,5,100.00%,16,0,11.90%,2,2,100.00%,1,0,11.10%,All Jaylen Warren red zone receiving plays,Jaylen Warren,2023
TEN,5,2,40.00%,12,1,10.60%,2,1,50.00%,2,1,8.70%,All Josh Whyle red zone receiving plays,Josh Whyle,2023
MIA,5,2,40.00%,9,2,7.50%,4,2,50.00%,9,2,9.10%,All Cedrick Wilson red zone receiving plays,Cedrick Wilson,2023
HOU,4,3,75.00%,1,2,5.90%,3,3,100.00%,1,2,8.30%,All Andrew Beck red zone receiving plays,Andrew Beck,2023
SEA,4,2,50.00%,23,2,6.20%,1,1,100.00%,5,1,4.20%,All Jake Bobo red zone receiving plays,Jake Bobo,2023
NYG,4,2,50.00%,5,0,12.10%,1,0,0.00%,0,0,8.30%,All Parris Campbell red zone receiving plays,Parris Campbell,2023
2TM,4,2,50.00%,7,1,0.00%,2,2,100.00%,7,1,0.00%,All Michael Carter red zone receiving plays,Michael Carter,2023
NYJ,4,3,75.00%,31,1,8.20%,0,0,0.00%,0,0,0.00%,All Randall Cobb red zone receiving plays,Randall Cobb,2023
MIA,4,2,50.00%,4,1,6.00%,4,2,50.00%,4,1,9.10%,All River Cracraft red zone receiving plays,River Cracraft,2023
NWE,4,2,50.00%,5,0,11.10%,2,0,0.00%,0,0,15.40%,All Demario Douglas red zone receiving plays,Demario Douglas,2023
DAL,4,3,75.00%,28,2,3.80%,0,0,0.00%,0,0,0.00%,All Rico Dowdle red zone receiving plays,Rico Dowdle,2023
NWE,4,3,75.00%,32,2,11.10%,0,0,0.00%,0,0,0.00%,All Ezekiel Elliott red zone receiving plays,Ezekiel Elliott,2023
DAL,4,1,25.00%,1,1,3.80%,1,1,100.00%,1,1,2.00%,All Michael Gallup red zone receiving plays,Michael Gallup,2023
GNB,4,2,50.00%,9,1,4.40%,2,1,50.00%,6,1,5.40%,All Malik Heath red zone receiving plays,Malik Heath,2023
CHI,4,2,50.00%,7,1,7.10%,2,2,100.00%,7,1,7.70%,All Khalil Herbert red zone receiving plays,Khalil Herbert,2023
NOR,4,1,25.00%,2,1,6.20%,3,1,33.33%,2,1,9.10%,All Taysom Hill red zone receiving plays,Taysom Hill,2023
DEN,4,4,100.00%,17,2,6.20%,2,2,100.00%,8,2,5.70%,All Lil'Jordan Humphrey red zone receiving plays,Lil'Jordan Humphrey,2023
CHI,4,3,75.00%,15,0,7.10%,1,1,100.00%,1,0,3.80%,All Roschon Johnson red zone receiving plays,Roschon Johnson,2023
PHI,4,3,75.00%,26,2,8.20%,1,1,100.00%,8,1,5.90%,All Julio Jones red zone receiving plays,Julio Jones,2023
NOR,4,3,75.00%,13,1,6.20%,3,2,66.67%,7,1,9.10%,All Foster Moreau red zone receiving plays,Foster Moreau,2023
MIN,4,2,50.00%,14,1,5.10%,3,2,66.67%,14,1,6.40%,All Johnny Mundt red zone receiving plays,Johnny Mundt,2023
NOR,4,3,75.00%,39,3,6.20%,2,1,50.00%,6,1,6.10%,All A.T. Perry red zone receiving plays,A.T. Perry,2023
DET,4,3,75.00%,25,0,6.20%,0,0,0.00%,0,0,0.00%,All Kalif Raymond red zone receiving plays,Kalif Raymond,2023
PIT,4,1,25.00%,-1,0,9.50%,3,1,33.33%,-1,0,16.70%,All Allen Robinson red zone receiving plays,Allen Robinson,2023
HOU,4,3,75.00%,15,0,5.90%,2,1,50.00%,4,0,5.60%,All Devin Singletary red zone receiving plays,Devin Singletary,2023
NYG,4,2,50.00%,28,1,12.10%,0,0,0.00%,0,0,0.00%,All Darius Slayton red zone receiving plays,Darius Slayton,2023
MIA,4,2,50.00%,14,0,6.00%,3,1,33.33%,7,0,6.80%,All Durham Smythe red zone receiving plays,Durham Smythe,2023
NWE,4,3,75.00%,25,0,11.10%,0,0,0.00%,0,0,0.00%,All Rhamondre Stevenson red zone receiving plays,Rhamondre Stevenson,2023
JAX,4,3,75.00%,28,1,6.30%,3,2,66.67%,11,1,10.00%,All Brenton Strange red zone receiving plays,Brenton Strange,2023
PHI,4,4,100.00%,16,1,8.20%,1,1,100.00%,9,1,5.90%,All D'Andre Swift red zone receiving plays,D'Andre Swift,2023
IND,4,3,75.00%,18,1,6.80%,3,2,66.67%,12,1,12.00%,All Jonathan Taylor red zone receiving plays,Jonathan Taylor,2023
TAM,4,2,50.00%,10,1,6.80%,1,1,100.00%,5,1,3.40%,All Deven Thompkins red zone receiving plays,Deven Thompkins,2023
DAL,4,3,75.00%,8,2,3.80%,2,2,100.00%,10,2,3.90%,All Jalen Tolbert red zone receiving plays,Jalen Tolbert,2023
CAR,4,4,100.00%,6,3,11.10%,3,3,100.00%,6,3,13.60%,All Tommy Tremble red zone receiving plays,Tommy Tremble,2023
WAS,4,2,50.00%,17,0,6.30%,3,1,33.33%,5,0,8.60%,All Cole Turner red zone receiving plays,Cole Turner,2023
NYJ,4,2,50.00%,6,1,8.20%,2,1,50.00%,1,1,6.50%,All C.J. Uzomah red zone receiving plays,C.J. Uzomah,2023
NYG,4,3,75.00%,31,1,12.10%,1,0,0.00%,0,0,8.30%,All Darren Waller red zone receiving plays,Darren Waller,2023
LVR,3,2,66.67%,8,0,4.20%,2,1,50.00%,1,0,5.70%,All Ameer Abdullah red zone receiving plays,Ameer Abdullah,2023
IND,3,2,66.67%,20,2,5.10%,1,1,100.00%,2,1,4.00%,All Mo Alie-Cox red zone receiving plays,Mo Alie-Cox,2023
WAS,3,1,33.33%,0,0,4.70%,3,1,33.33%,0,0,8.60%,All John Bates red zone receiving plays,John Bates,2023
BAL,3,1,33.33%,10,1,4.70%,3,1,33.33%,10,1,9.70%,All Rashod Bateman red zone receiving plays,Rashod Bateman,2023
SFO,3,3,100.00%,26,3,4.30%,2,2,100.00%,14,2,7.70%,All Ronnie Bell red zone receiving plays,Ronnie Bell,2023
MIN,3,3,100.00%,22,0,3.80%,2,2,100.00%,6,0,4.30%,All Ty Chandler red zone receiving plays,Ty Chandler,2023
ARI,3,2,66.67%,11,1,5.20%,2,1,50.00%,6,1,7.70%,All Greg Dortch red zone receiving plays,Greg Dortch,2023
IND,3,1,33.33%,7,0,5.10%,1,1,100.00%,7,0,4.00%,All Tyler Goodson red zone receiving plays,Tyler Goodson,2023
KAN,3,1,33.33%,2,1,3.40%,2,1,50.00%,2,1,4.20%,All Noah Gray red zone receiving plays,Noah Gray,2023
LAC,3,2,66.67%,26,1,4.10%,1,0,0.00%,0,0,2.30%,All Jalen Guyton red zone receiving plays,Jalen Guyton,2023
PIT,3,3,100.00%,13,0,7.10%,2,2,100.00%,7,0,11.10%,All Najee Harris red zone receiving plays,Najee Harris,2023
LAR,3,2,66.67%,8,0,4.10%,3,2,66.67%,8,0,7.30%,All Darrell Henderson red zone receiving plays,Darrell Henderson,2023
PIT,3,2,66.67%,11,0,7.10%,1,1,100.00%,0,0,5.60%,All Connor Heyward red zone receiving plays,Connor Heyward,2023
LVR,3,3,100.00%,15,0,4.20%,1,1,100.00%,5,0,2.90%,All Austin Hooper red zone receiving plays,Austin Hooper,2023
CIN,3,3,100.00%,25,1,4.10%,0,0,0.00%,0,0,0.00%,All Tanner Hudson red zone receiving plays,Tanner Hudson,2023
CAR,3,1,33.33%,4,1,8.30%,3,1,33.33%,4,1,13.60%,All Hayden Hurst red zone receiving plays,Hayden Hurst,2023
NOR,3,1,33.33%,7,1,4.60%,2,1,50.00%,7,1,6.10%,All Keith Kirkwood red zone receiving plays,Keith Kirkwood,2023
GNB,3,1,33.33%,9,1,3.30%,2,1,50.00%,9,1,5.40%,All Bo Melton red zone receiving plays,Bo Melton,2023
HOU,3,0,0.00%,0,0,4.40%,3,0,0.00%,0,0,8.30%,All John Metchie red zone receiving plays,John Metchie,2023
ATL,3,3,100.00%,14,2,5.60%,2,2,100.00%,10,2,7.10%,All Scott Miller red zone receiving plays,Scott Miller,2023
CAR,3,0,0.00%,0,0,8.30%,2,0,0.00%,0,0,9.10%,All Jonathan Mingo red zone receiving plays,Jonathan Mingo,2023
BUF,3,3,100.00%,10,0,4.80%,2,2,100.00%,4,0,7.40%,All Latavius Murray red zone receiving plays,Latavius Murray,2023
TAM,3,2,66.67%,8,2,5.10%,2,2,100.00%,8,2,6.90%,All Trey Palmer red zone receiving plays,Trey Palmer,2023
ARI,3,1,33.33%,-4,0,5.20%,1,0,0.00%,0,0,3.80%,All Zach Pascal red zone receiving plays,Zach Pascal,2023
ATL,3,0,0.00%,0,0,5.60%,2,0,0.00%,0,0,7.10%,All MyCole Pruitt red zone receiving plays,MyCole Pruitt,2023
LVR,3,3,100.00%,21,0,4.20%,0,0,0.00%,0,0,0.00%,All Hunter Renfrow red zone receiving plays,Hunter Renfrow,2023
BAL,3,2,66.67%,7,1,4.70%,2,1,50.00%,4,1,6.50%,All Patrick Ricard red zone receiving plays,Patrick Ricard,2023
CIN,3,3,100.00%,23,1,4.10%,0,0,0.00%,0,0,0.00%,All Drew Sample red zone receiving plays,Drew Sample,2023
GNB,3,2,66.67%,-4,0,3.30%,0,0,0.00%,0,0,0.00%,All Patrick Taylor red zone receiving plays,Patrick Taylor,2023
LVR,3,2,66.67%,0,0,4.20%,1,0,0.00%,0,0,2.90%,All Tre Tucker red zone receiving plays,Tre Tucker,2023
KAN,3,1,33.33%,-1,0,3.40%,1,0,0.00%,0,0,2.10%,All Marquez Valdes-Scantling red zone receiving plays,Marquez Valdes-Scantling,2023
SEA,3,2,66.67%,-4,0,4.60%,0,0,0.00%,0,0,0.00%,All Kenneth Walker red zone receiving plays,Kenneth Walker,2023
JAX,3,3,100.00%,34,2,4.80%,1,1,100.00%,1,0,3.30%,All Parker Washington red zone receiving plays,Parker Washington,2023
PHI,3,3,100.00%,20,1,6.10%,0,0,0,0,0,0.00%,All Quez Watkins red zone receiving plays,Quez Watkins,2023
DEN,3,3,100.00%,7,2,4.60%,3,3,100.00%,7,2,8.60%,All Javonte Williams red zone receiving plays,Javonte Williams,2023
PHI,3,0,0.00%,0,0,6.10%,1,0,0.00%,0,0,5.90%,All Olamide Zaccheaus red zone receiving plays,Olamide Zaccheaus,2023
JAX,2,1,50.00%,14,0,3.20%,1,0,0.00%,0,0,3.30%,All Jamal Agnew red zone receiving plays,Jamal Agnew,2023
MIN,2,1,50.00%,-3,0,2.50%,0,0,0.00%,0,0,0.00%,All Cam Akers red zone receiving plays,Cam Akers,2023
LAR,2,2,100.00%,13,1,2.70%,1,1,100.00%,7,1,2.40%,All Davis Allen red zone receiving plays,Davis Allen,2023
ATL,2,1,50.00%,0,0,3.70%,0,0,0.00%,0,0,0.00%,All Tyler Allgeier red zone receiving plays,Tyler Allgeier,2023
CLE,2,0,0.00%,0,0,3.10%,1,0,0.00%,0,0,3.40%,All David Bell red zone receiving plays,David Bell,2023
WAS,2,1,50.00%,0,0,3.10%,2,1,50.00%,0,0,5.70%,All Dyami Brown red zone receiving plays,Dyami Brown,2023
NYJ,2,1,50.00%,8,1,4.10%,2,1,50.00%,8,1,6.50%,All Jason Brownlee red zone receiving plays,Jason Brownlee,2023
NYG,2,1,50.00%,10,1,6.10%,1,1,100.00%,10,1,8.30%,All Lawrence Cager red zone receiving plays,Lawrence Cager,2023
