Tm,Tgt_20,Rec_20,Ctch%_20,Yds_20,TD_20,%Tgt_20,Tgt_10,Rec_10,Ctch%_10,Yds_10,TD_10,%Tgt_10,Highlights,Player,Year
ARI,10,5,50.00%,30,1,16.40%,2,1,50.00%,6,1,7.10%,All Marquise Brown red zone receiving plays,Marquise Brown,2022
HOU,10,7,70.00%,54,3,15.20%,4,1,25.00%,6,1,16.00%,All Brandin Cooks red zone receiving plays,Brandin Cooks,2022
MIN,10,5,50.00%,34,1,10.20%,4,3,75.00%,13,0,7.70%,All Dalvin Cook red zone receiving plays,Dalvin Cook,2022
PIT,10,4,40.00%,26,2,17.90%,6,2,33.33%,18,2,20.70%,All Pat Freiermuth red zone receiving plays,Pat Freiermuth,2022
KAN,10,8,80.00%,52,4,9.30%,6,5,83.33%,22,4,9.40%,All Mecole Hardman red zone receiving plays,Mecole Hardman,2022
CIN,10,5,50.00%,41,4,11.50%,4,3,75.00%,19,3,11.40%,All Tee Higgins red zone receiving plays,Tee Higgins,2022
DEN,10,6,60.00%,39,4,20.40%,6,4,66.67%,21,3,22.20%,All Jerry Jeudy red zone receiving plays,Jerry Jeudy,2022
CHI,10,8,80.00%,60,6,27.00%,5,3,60.00%,20,3,29.40%,All Cole Kmet red zone receiving plays,Cole Kmet,2022
CAR,10,5,50.00%,36,4,26.30%,5,3,60.00%,15,3,29.40%,All D.J. Moore red zone receiving plays,D.J. Moore,2022
NOR,10,7,70.00%,63,2,16.40%,2,2,100.00%,9,1,9.50%,All Chris Olave red zone receiving plays,Chris Olave,2022
BAL,10,4,40.00%,24,2,14.30%,3,1,33.33%,1,1,10.30%,All Josh Oliver red zone receiving plays,Josh Oliver,2022
BAL,10,4,40.00%,28,2,14.30%,3,1,33.33%,6,1,10.30%,All Demarcus Robinson red zone receiving plays,Demarcus Robinson,2022
HOU,9,6,66.67%,30,1,13.60%,5,3,60.00%,15,1,20.00%,All Rex Burkhead red zone receiving plays,Rex Burkhead,2022
IND,9,3,33.33%,16,2,14.30%,5,3,60.00%,16,2,15.60%,All Parris Campbell red zone receiving plays,Parris Campbell,2022
LAC,9,4,44.44%,19,0,9.40%,3,2,66.67%,2,0,6.50%,All DeAndre Carter red zone receiving plays,DeAndre Carter,2022
TAM,9,9,100.00%,52,3,9.40%,4,4,100.00%,14,2,8.20%,All Leonard Fournette red zone receiving plays,Leonard Fournette,2022
MIA,9,4,44.44%,18,2,14.50%,6,2,33.33%,5,2,19.40%,All Tyreek Hill red zone receiving plays,Tyreek Hill,2022
